title,glass,garnish,recipe,ingredients
Acapulco Daiquiri,Coupe glass,Lime wedge,"DRY SHAKE (without ice) all ingredients to emulsify. Add ice, SHAKE again and fine strain into chilled glass.","[['4.5 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['2.25 cl', 'Lime cordial (sweetened lime juice)'], ['1.5 cl', 'Pasteurised egg white']]"
Ace,Coupe glass,Luxardo Maraschino cherry,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Giffard Grenadine syrup'], ['3 cl', 'Single cream / half-and-half'], ['1.5 cl', 'Pasteurised egg white']]"
Ace Of Clubs Daiquiri,Martini glass,Dust with chocolate powder,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['1.5 cl', 'Dutch Cacao white crème de cacao'], ['6 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Achilles Heel,Collins glass,Apple slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Bison grass vodka'], ['0.75 cl', 'Giffard Framboise de Ronce (raspberry liqueur)'], ['0.75 cl', 'Peachtree peach schnapps'], ['3 cl', 'Apple juice'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]"
Adam & Eve,Old-fashioned glass,Lemon zest twist,SHAKE all ingredients with ice and strain into ice filled glass.,"[['6 cl', 'Bourbon whiskey'], ['1.5 cl', ""Galliano L'Autentico liqueur""], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['3 dash', 'Angostura Aromatic Bitters']]"
Adios,Shot glass,None,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the order shown here.,"[['2.25 cl', 'Coffee liqueur'], ['2.25 cl', 'Patrón Reposado tequila']]"
Adonis,Coupe glass,Orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Oloroso sherry'], ['3 cl', 'Martini Rosso sweet vermouth'], ['2 dash', 'Orange Bitters by Angostura']]"
Affinity,Coupe glass,Lemon zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['3 cl', ""Dewar's 12 Year Old Scotch whisky""], ['3 cl', 'Vermouth amaro'], ['3 cl', 'Martini Extra Dry vermouth'], ['1 dash', 'Angostura Aromatic Bitters']]"
After Eight,Shot glass,None,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['1.5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Dutch Cacao white crème de cacao'], ['1.5 cl', 'Giffard Peppermint Pastille crème de menthe']]"
After Six Shot,Shot glass,None,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the order shown here.,"[['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Giffard Menthe Pastille white crème de menthe'], ['1.5 cl', 'Irish cream liqueur']]"
Afterburner,Snifter glass,None,"POUR all ingredients into glass, swirl to mix, Flambé and then extinguish flame. Please take care and beware of hot glass rim.","[['3 cl', 'Giffard Menthe Pastille white crème de menthe'], ['1.5 cl', 'White overproof rum'], ['3 cl', 'Coffee liqueur']]"
Aged Honey Daiquiri,Coupe glass,Lime wedge on rim,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Havana Club 7yo rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Honey syrup (3 honey to 1 water)'], ['1 cl', 'Chilled water (omit if using wet ice)']]"
Aggravation,Old-fashioned glass,Dust with grated nutmeg,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['2.25 cl', 'Coffee liqueur'], ['2.25 cl', 'Single cream / half-and-half'], ['2.25 cl', 'Milk (semi-skimmed/2% fat)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Air Mail,Highball (max 10oz/300ml),Tip of a mint sprig or serve naked,SHAKE first 3 ingredients with ice and strain into an ice-filled glass (preferably a column of ice). TOP with champagne.,"[['3 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Honey syrup (3 honey to 1 water)'], ['4.5 cl', 'Brut Champagne']]"
A.J.,Coupe glass,Dust with cinnamon powder,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Avallen Calvados'], ['6 cl', 'Grapefruit juice (pink)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Alabama Slammer (straight-up),Martini glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Ketel One Vodka'], ['2.25 cl', 'Southern USA-style liqueur 40% (e.g. Southern Comfort)'], ['3 cl', 'Orange juice (freshly squeezed)'], ['0.75 cl', 'Giffard Grenadine syrup']]"
Alabama Slammer,Old-fashioned glass,Peach slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Southern USA-style liqueur 40% (e.g. Southern Comfort)'], ['1.5 cl', 'Disaronno amaretto'], ['1.5 cl', 'Rutte Sloe Gin'], ['6 cl', 'Orange juice (freshly squeezed)'], ['2.25 cl', 'Lemon juice (freshly squeezed)']]"
Alamagoozlum Cocktail,Coupe glass,Pineapple wedge on rim,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['2 cl', 'Rutte Old Simon Genever'], ['1.5 cl', 'Jamaican aged blended rum'], ['1.5 cl', 'Yellow Chartreuse liqueur'], ['0.5 cl', 'Orange Curaçao liqueur'], ['0.5 cl', 'Angostura Aromatic Bitters'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 cl', 'Chilled water'], ['1.5 cl', 'Pasteurised egg white']]"
Alan's Apple Breeze,Collins glass,Apple wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'De Kuyper Apricot Brandy liqueur'], ['4.5 cl', 'Apple juice'], ['4.5 cl', 'Cranberry juice (sweetened)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Alaska (Savoy recipe),Nick & Nora glass,Orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Yellow Chartreuse liqueur'], ['1 cl', 'Chilled water']]"
Alessandro,Martini glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['2.25 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Black sambuca liqueur'], ['2.25 cl', 'Milk (semi-skimmed/2% fat)'], ['2.25 cl', 'Single cream / half-and-half']]"
Alexander,Coupe glass,Dust with grated nutmeg,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Dutch Cacao white crème de cacao'], ['2.25 cl', 'Single cream / half-and-half'], ['1 cl', 'Pasteurised egg white (optional)']]"
Alexander The Great,Coupe glass,Dust with freshly grated nutmeg,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['4.5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Dutch Cacao white crème de cacao'], ['2.25 cl', 'Single cream / half-and-half']]"
Alexander's Big Brother,Martini glass,Physalis (cape gooseberry) on rim,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['0.75 cl', 'De Kuyper Triple Sec (40%)'], ['2.25 cl', 'De Kuyper Blue Curaçao'], ['2.25 cl', 'Single cream / half-and-half'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['0.75 cl', 'Pasteurised egg white (optional)']]"
Alexander's Sister,Martini glass,Dust with freshly grated nutmeg,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Giffard Peppermint Pastille crème de menthe'], ['2.25 cl', 'Single cream / half-and-half'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['0.75 cl', 'Pasteurised egg white (optional)']]"
Alexandra,Martini glass,Dust with freshly grated nutmeg,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['4.5 cl', 'Navy rum (54.5% alc./vol.)'], ['3 cl', 'Coffee liqueur'], ['3 cl', 'Single cream / half-and-half'], ['0.75 cl', 'Pasteurised egg white (optional)']]"
Alfonso,Flute glass,Lemon zest twist,Coat sugar cube with bitters and drop into glass. POUR Dubonnet and then champagne into chilled glass.,"[['1 cube', 'White caster sugar'], ['4 dash', 'Angostura Aromatic Bitters'], ['1.5 cl', 'Dubonnet Red'], ['Top up with', 'Brut Champagne']]"
Algonquin,Coupe glass,Pineapple wedge & Luxardo Maraschino cherry,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Straight rye whiskey (100 proof / 50% alc./vol.)'], ['2.25 cl', 'Martini Bianco vermouth'], ['2.25 cl', 'Pineapple juice (fresh pressed)'], ['1 dash', ""Peychaud's or other Creole-style bitters (optional)""]]"
Alice From Dallas,Shot glass,None,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Grand Marnier or other cognac orange liqueur'], ['1.5 cl', 'Patrón Reposado tequila']]"
Alice In Wonderland,Shot glass,Lime wedge,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['3 cl', 'Grand Marnier or other cognac orange liqueur'], ['1.5 cl', 'Patrón Reposado tequila']]"
All Fall Down,Shot glass,None,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Patrón Reposado tequila'], ['1.5 cl', 'Navy rum (54.5% alc./vol.)']]"
All White Frappé,Old-fashioned glass,Lemon zest twist,BLEND ingredients with 6oz scoop of crushed ice. Pour into glass and serve with short straws.,"[['3 cl', 'Luxardo Sambuca'], ['3 cl', 'Dutch Cacao white crème de cacao'], ['3 cl', 'Giffard Menthe Pastille white crème de menthe'], ['3 cl', 'Lemon juice (freshly squeezed)']]"
Almond Cocktail,Martini glass,Sink three almonds,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Ketel One Vodka'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Giffard Orgeat Syrup'], ['3 cl', 'Apple juice'], ['2 dash', 'Peach bitters (optional)']]"
Almond Martini,Martini glass,Sink three almonds,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Ketel One Vodka'], ['2.25 cl', 'Disaronno amaretto'], ['0.75 cl', 'Martini Extra Dry vermouth'], ['4 drop', ""Bob's Vanilla bitters""], ['1 cl', 'Chilled water']]"
Almond Old Fashioned (tequila based),Old-fashioned glass,Orange zest twist,"STIR one shot of tequila with two ice cubes in a glass. Add amaretto, agave syrup, bitters and two more ice cubes. Stir some more then add another two ice cubes and the remaining tequila. Stir lots more so as to melt ice then add more ice. The melting and stirring in of ice cubes is essential to the dilution and taste of the drink.","[['6 cl', 'Patrón Reposado tequila'], ['0.75 cl', 'Disaronno amaretto'], ['0.75 cl', 'Agave syrup'], ['2 dash', 'Orange Bitters by Angostura']]"
Amaretto Sour,Old-fashioned glass,Spray aromatic bitters over foaming cocktail from atomiser and then garnish with lemon & cherry sail (lemon slice & Luxardo Maraschino cherry on stick),SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into ice-filled glass.,"[['6 cl', 'Disaronno amaretto'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['1 dash', 'Angostura Aromatic Bitters'], ['1.5 cl', 'Pasteurised egg white']]"
Amber,Collins glass,Dust with grated nutmeg & apple wedge,"MUDDLE ginger in base of shaker. Add other ingredients, SHAKE with ice and strain into glass filled with crushed ice.","[['4 slice', 'Root ginger (thumbnail-sized slice)'], ['4.5 cl', 'Bison grass vodka'], ['12 cl', 'Apple juice'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Apple Schnapps liqueur']]"
Ambrosia,Flute glass,None,"SHAKE first 4 ingredients with ice and strain into glass, TOP with champagne.","[['3 cl', 'Rémy Martin 1738 Cognac'], ['3 cl', 'Avallen Calvados'], ['0.75 cl', 'De Kuyper Triple Sec (40%)'], ['0.75 cl', 'Lemon juice (freshly squeezed)'], ['Top up with', 'Brut Champagne']]"
Ambrosia Cocktail,Coupe glass,Dust with grated nutmeg,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['2 cl', 'Rémy Martin 1738 Cognac'], ['2.5 cl', 'Licor 43 Original liqueur'], ['1.25 cl', 'Yellow Chartreuse liqueur'], ['5 cl', 'Warninks Advocaat liqueur']]"
American Beauty (by David Embury),Coupe glass,Float mint leaf or red rose petal,SHAKE first 5 ingredients with CRUSHED ICE and fine strain into chilled glass. FLOAT red wine on surface of cocktail.,"[['6 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['1.5 cl', 'Giffard Menthe Pastille white crème de menthe'], ['1.5 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Giffard Grenadine syrup'], ['0.5 cl', 'Shiraz red wine']]"
American Pie Cocktail,Martini glass,Apple wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Bourbon whiskey'], ['1.5 cl', 'Apple Schnapps liqueur'], ['1.5 cl', 'Giffard Crème de Myrtille liqueur'], ['2.25 cl', 'Cranberry juice (sweetened)'], ['1.5 cl', 'Apple juice'], ['0.75 cl', 'Lime juice (freshly squeezed)']]"
Americana,Flute glass,Peach slice,Coat sugar cube with bitters and drop into glass. POUR bourbon and then champagne into chilled glass.,"[['1 cube', 'White caster sugar'], ['4 dash', 'Angostura Aromatic Bitters'], ['1.5 cl', 'Bourbon whiskey'], ['Top up with', 'Brut Champagne']]"
Americano,Collins glass,Orange slice,POUR all ingredients into glass and then fill with ice.,"[['4.5 cl', 'Italian red bitter liqueur'], ['4.5 cl', 'Martini Rosso sweet vermouth'], ['7.5 cl', 'Thomas Henry Soda Water']]"
Anis'tini,Martini glass,Star anise,"MUDDLE star anise in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['2 dried', 'Star anise'], ['3 cl', 'Ketel One Vodka'], ['2.25 cl', 'Black sambuca liqueur'], ['1.5 cl', 'Pernod anise'], ['4.5 cl', 'Chilled water (reduce if wet ice)']]"
Anita's Attitude Adjuster,Sling glass,Lemon slice & cherry on stick (sail),SHAKE first seven ingredients with ice and strain into ice-filled glass. TOP with champagne and gently stir.,"[['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'Patrón Reposado tequila'], ['1.5 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['Top up with', 'Brut Champagne']]"
Apache,Shot glass,None,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['2.25 cl', 'Coffee liqueur'], ['1.5 cl', 'Green melon liqueur'], ['1.5 cl', 'Irish cream liqueur']]"
Aphrodisiac,Collins glass,Apple slice,"MUDDLE ginger in base of shaker. Add other ingredients, SHAKE with ice and fine strain into ice-filled glass.","[['2 slice', 'Root ginger (thumbnail-sized slice)'], ['6 cl', 'Absolut Vanilia vodka'], ['1.5 cl', 'Green Chartreuse liqueur'], ['7.5 cl', 'Apple juice'], ['4.5 cl', 'Sauvignon blanc wine']]"
Apple & Blackberry Pie,Martini glass,Dust with cinnamon powder & blackberry,"MUDDLE blackberries in base of shaker. Add vodka and apple juice, SHAKE all ingredients with ice and fine strain into chilled glass. FLOAT cream on the surface of the drink by pouring over the back of a spoon and swirl to form a thin layer. Depending on the sweetness of your blackberries, you may need to add a touch of sugar syrup.","[['7 fresh', 'Blackberries'], ['6 cl', 'Ketel One Vodka'], ['3 cl', 'Apple juice'], ['Float', 'Single cream / half-and-half']]"
Apple & Cranberry Pie,Martini glass,Dust with cinnamon powder,SHAKE first 3 ingredients with ice and fine strain into chilled glass. FLOAT cream on surface of drink by pouring over back of spoon and swirl to form a thin layer.,"[['4.5 cl', 'Ketel One Vodka'], ['2.25 cl', 'Apple Schnapps liqueur'], ['3 cl', 'Cranberry juice (sweetened)'], ['Float', 'Single cream / half-and-half']]"
Apple & Custard Cocktail,Martini glass,Apple wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Warninks Advocaat liqueur'], ['4.5 cl', 'Avallen Calvados'], ['1.5 cl', 'Apple Schnapps liqueur'], ['0.75 cl', 'Vanilla sugar syrup']]"
Apple & Elderflower Collins,Collins glass,Lemon slice,SHAKE first 4 ingredients with ice and strain into ice-filled glass. TOP with soda and briefly stir.,"[['4.5 cl', 'Rutte Dry Gin'], ['3 cl', 'St-Germain elderflower liqueur'], ['3 cl', 'Apple Schnapps liqueur'], ['3 cl', 'Lime juice (freshly squeezed)'], ['Top up with', 'Thomas Henry Soda Water']]"
Apple & Melon Cocktail,Martini glass,Apple wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Ketel One Vodka'], ['3 cl', 'Sour apple liqueur'], ['1.5 cl', 'Green melon liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)']]"
Apple & Spice,Shot glass,Dust with cinnamon powder,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['2.25 cl', 'Avallen Calvados'], ['2.25 cl', 'Single cream / half-and-half']]"
Apple Brandy Sour,Old-fashioned glass,Lemon slice & Luxardo Maraschino cherry on stick (sail),SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and strain into ice-filled glass.,"[['6 cl', 'Avallen Calvados'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['2.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['3 dash', 'Angostura Aromatic Bitters'], ['1.5 cl', 'Pasteurised egg white']]"
Apple Breeze,Collins glass,Apple wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Bison grass vodka'], ['7.5 cl', 'Apple juice'], ['4.5 cl', 'Cranberry juice (sweetened)']]"
Apple Buck,Collins glass,Apple wedge,SHAKE first four ingredients with ice and strain into ice-filled glass. TOP with ginger ale.,"[['4.5 cl', 'Avallen Calvados'], ['1.5 cl', 'Sour apple liqueur'], ['3 cl', 'Apple juice'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['Top up with', 'Thomas Henry Ginger Ale']]"
Apple Cart,Coupe glass,Optional sugar rim with apple wedge on rim or float dehydrated apple slice,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Avallen Calvados'], ['3 cl', 'De Kuyper Triple Sec (40%)'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Apple Schnapps liqueur (optional)'], ['1 cl', 'Chilled water (omit if using wet ice)']]"
Apple Crumble Cocktail #1,Martini glass,Apple wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['0.75 cl', 'Butterscotch liqueur'], ['3 cl', 'Apple juice'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Apple Crumble Cocktail #2,Martini glass,Dust with cinnamon powder,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Tuaca liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['6 cl', 'Apple juice']]"
Apple Daiquiri,Martini glass,Apple wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Bacardi Carta Blanca light rum'], ['4.5 cl', 'Apple juice'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Apple Mac,Martini glass,Apple slice,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['4.5 cl', 'Apple juice'], ['1.5 cl', ""Stone's Original Green Ginger Wine""]]"
Apple Manhattan,Martini glass,"Apple wedge, apple fan or dehydrated apple slice",STIR all ingredients with ice and strain into chilled glass.,"[['5 cl', 'Bourbon whiskey'], ['3.5 cl', 'Apple Schnapps liqueur'], ['1.25 cl', 'Martini Rosso sweet vermouth']]"
Apple Martini (simple),Martini glass,Luxardo Maraschino cherry,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Ketel One Vodka'], ['5.25 cl', 'Apple juice'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Apple Martini (IBA spec),Martini glass,Apple slice,STIR all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Ketel One Vodka'], ['2.25 cl', 'Apple Schnapps liqueur'], ['2.25 cl', 'De Kuyper Triple Sec (40%)']]"
Apple Mojito,Collins glass,Mint sprig,"Lightly MUDDLE (just to bruise) mint in base of glass. Add other ingredients, half fill glass with crushed ice and CHURN (stir) with bar spoon. Fill glass to brim with more crushed ice and CHURN some more. Serve with straws.","[['12 fresh', 'Mint leaves'], ['6 cl', 'Bacardi Carta Blanca light rum'], ['3 cl', 'Apple Schnapps liqueur'], ['3 cl', 'Lime juice (freshly squeezed)']]"
Apple Of One's Eye,Collins glass,Apple wedge,SHAKE first three ingredients with ice and strain into ice-filled glass. TOP with ginger beer.,"[['6 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['4.5 cl', 'Apple juice'], ['Top up with', 'Thomas Henry Ginger Beer']]"
Apple Pie Cocktail,Martini glass,Apple wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Bison grass vodka'], ['1.5 cl', 'Cinnamon schnapps & Goldwasser liqueurs'], ['6 cl', 'Apple juice'], ['3 cl', 'Cranberry juice (sweetened)']]"
Apple Pie Shot,Shot glass,Dust with cinnamon powder,SHAKE first 2 ingredients with ice and strain into chilled glass. FLOAT cream on drink by carefully pouring over the back of a spoon.,"[['3 cl', 'Apple Schnapps liqueur'], ['1.5 cl', 'Hazelnut liqueur'], ['0.75 cl', 'Single cream / half-and-half']]"
Appleissimo,Collins glass,Apple slice,SHAKE first 3 ingredients with ice and strain into ice-filled glass. TOP with anis and serve with straws.,"[['4.5 cl', 'Apple Schnapps liqueur'], ['6 cl', 'Apple juice'], ['4.5 cl', 'Cranberry juice (sweetened)'], ['4.5 cl', 'Pernod anise']]"
Apple Spritz,Flute glass,Peach slice,POUR first 2 ingredients into glass then TOP with champagne.,"[['2.25 cl', 'Apple Schnapps liqueur'], ['0.75 cl', 'Peachtree peach schnapps'], ['Top up with', 'Brut Champagne']]"
